name,os,sw,sym,err,time,mem,comment,size
apache2,linux,matlab,false,-1,-1,-1,koom,82807336
apache2,linux,matlab,true,3.8120e-11,29.5191,6.4947e+09,ok,82807336
apache2,linux,octave,false,-1,-1,-1,kbu,82807336
apache2,linux,octave,true,0.000000000034479,481.47,6858836000,ok,82807336
apache2,windows,matlab,false,-1,-1,-1,ierr,82807336
apache2,windows,matlab,true,3.8102e-11,35.1746,5.1332e+09,ok,82807336
apache2,windows,octave,false,-1,-1,-1,oom/died,82807336
apache2,windows,octave,true,0.000000000043070,77.811,5.3926e+09,ok,82807336
cfd1,linux,matlab,false,3.1384e-13,17.2532,3.3491e+09,ok,29774536
cfd1,linux,matlab,true,1.1503e-13,5.7312,2.0242e+09,ok,29774536
cfd1,linux,octave,false,1.3645e-12,169.14,3889228000,ok,29774536
cfd1,linux,octave,true,2.2669e-13,43.227,1700028000,ok,29774536
cfd1,windows,matlab,false,3.4790e-13,13.3504,3.0382e+09,ok,29774536
cfd1,windows,matlab,true,1.2412e-13,4.7819,1.6391e+09,ok,29774536
cfd1,windows,octave,false,1.6183e-13,20.633,3.8231e+09,ok,29774536
cfd1,windows,octave,true,2.6118e-14,9.9243,1.6689e+09,ok,29774536
cfd2,linux,matlab,false,8.5984e-13,23.5094,5.6511e+09,ok,50354024
cfd2,linux,matlab,true,4.2045e-13,9.5382,3.2158e+09,ok,50354024
cfd2,linux,octave,false,9.6771e-13,306.04,6774068000,ok,50354024
cfd2,linux,octave,true,6.5091e-13,160.21,3666280000,ok,50354024
cfd2,windows,matlab,false,9.1579e-13,27.8257,5.1892e+09,ok,50354024
cfd2,windows,matlab,true,3.8789e-13,12.0449,3.2246e+09,ok,50354024
cfd2,windows,octave,false,6.1684e-13,45.510,5.1248e+09,ok,50354024
cfd2,windows,octave,true,4.0684e-13,19.298,3.6330e+09,ok,50354024
ex15,linux,matlab,false,8.5736e-07,0.1837,913804000,ok,1633696
ex15,linux,matlab,true,7.9679e-07,0.0337,916172000,ok,1633696
ex15,linux,octave,false,0.00000082138,0.30051,203712000,ok,1633696
ex15,linux,octave,true,0.00000084804,0.048232,204096000,ok,1633696
ex15,windows,matlab,false,8.5736e-07,0.1853,730296320,ok,1633696
ex15,windows,matlab,true,7.8574e-07,0.0393,782589952,ok,1633696
ex15,windows,octave,false,0.00000090188,3.9201,70803456,ok,1633696
ex15,windows,octave,true,0.00000088238,0.22685,65843200,ok,1633696
Flan_1565,linux,matlab,false,-1,-1,-1,oom,1839164312
Flan_1565,linux,matlab,true,-1,-1,-1,oom,1839164312
Flan_1565,linux,octave,false,-1,-1,-1,oom,1839164312
Flan_1565,linux,octave,true,-1,-1,-1,oom,1839164312
Flan_1565,windows,matlab,false,-1,-1,-1,oom,1839164312
Flan_1565,windows,matlab,true,-1,-1,-1,oom,1839164312
Flan_1565,windows,octave,false,-1,-1,-1,oom,1839164312
Flan_1565,windows,octave,true,-1,-1,-1,died,1839164312
G3_circuit,linux,matlab,false,-1,-1,-1,oom,135257048
G3_circuit,linux,matlab,true,4.1239e-12,30.7832,6.7124e+09,ok,135257048
G3_circuit,linux,octave,false,-1,-1,-1,oom,135257048
G3_circuit,linux,octave,true,3.2596e-12,310.96,6805784000,ok,135257048
G3_circuit,windows,matlab,false,-1,-1,-1,oom,135257048
G3_circuit,windows,matlab,true,4.1606e-12,55.4263,4.4747e+09,ok,135257048
G3_circuit,windows,octave,false,-1,-1,-1,oom,135257048
G3_circuit,windows,octave,true,5.4257e-12,107.64,5.6326e+09,ok,135257048
parabolic_fem,linux,matlab,false,-1,-1,-1,oom,63000608
parabolic_fem,linux,matlab,true,1.1535e-12,3.2170,1.6572e+09,ok,63000608
parabolic_fem,linux,octave,false,-1,-1,-1,oom,63000608
parabolic_fem,linux,octave,true,9.6783e-13,17.643,1717712000,ok,63000608
parabolic_fem,windows,matlab,false,-1,-1,-1,oom,63000608
parabolic_fem,windows,matlab,true,1.0784e-12,5.1456,1.8427e+09,ok,63000608
parabolic_fem,windows,octave,false,-1,-1,-1,oom,63000608
parabolic_fem,windows,octave,true,1.2882e-12,14.348,1.1808e+09,ok,63000608
shallow_water1,linux,matlab,false,3.1987e-16,10.3291,1.5246e+09,ok,5898248
shallow_water1,linux,matlab,true,2.7008e-16,0.3007,912056000,ok,5898248
shallow_water1,linux,octave,false,3.2043e-16,44.299,1100452000,ok,5898248
shallow_water1,linux,octave,true,2.7142e-16,2.1405,189148000,ok,5898248
shallow_water1,windows,matlab,false,3.1985e-16,13.6709,1.1397e+09,ok,5898248
shallow_water1,windows,matlab,true,2.7017e-16,0.3066,552861696,ok,5898248
shallow_water1,windows,octave,false,3.0861e-16,27.158,1.2093e+09,ok,5898248
shallow_water1,windows,octave,true,2.6561e-16,1.4395,84443136,ok,5898248
StocF-1465,linux,matlab,false,-1,-1,-1,oom,347807328
StocF-1465,linux,matlab,true,-1,-1,-1,oom,347807328
StocF-1465,linux,octave,false,-1,-1,-1,oom,347807328
StocF-1465,linux,octave,true,-1,-1,-1,oom,347807328
StocF-1465,windows,matlab,false,-1,-1,-1,oom,347807328
StocF-1465,windows,matlab,true,-1,-1,-1,oom,347807328
StocF-1465,windows,octave,false,-1,-1,-1,died,347807328
StocF-1465,windows,octave,true,-1,-1,-1,died,347807328
